,hs300,zz500,P,flag_hs,flag_zz,rd_strategy,change,net_zz,net_hs,rd_zz,rd_hs,net_strategy
339,3059.23,5715.18,0.6249625425015584,1,0,-0.0014133883455847984,0,1.055041332688451,0.8400923784992066,-0.004875347803829921,-0.0014133883455847984,0.931416411050657
340,3064.21,5744.39,0.6284339389882216,1,0,0.0016278606054465072,0,1.0604335963315608,0.8414599317871013,0.0051109501363035825,0.0016278606054465072,0.9329326271334727
341,3062.5,5739.59,0.6281562033380599,1,0,-0.0005580557468319869,0,1.0595475002861334,0.8409903502364386,-0.0008355978615658399,-0.0005580557468319869,0.9324119987194938
342,3066.71,5711.32,0.6218448446096705,1,0,0.0013746938775509587,0,1.0543287637852528,0.8421464545219881,-0.004925438925080128,0.0013746938775509587,0.9336937797854885
343,3169.56,5947.32,0.6293479209262642,1,0,0.03353756957782106,0,1.0978951526854228,0.8703899998352346,0.04132144583038588,0.03353756957782106,0.9650075998894231
344,3160.55,5973.78,0.6366338297820651,1,0,-0.0028426658589835174,0,1.1027797571358402,0.8679157718987023,0.004449062771130441,-0.0028426658589835174,0.9622644057315578
345,3167.1,6013.89,0.6412554510623014,1,0,0.002072424103399584,0,1.1101841972154414,0.8697144614641058,0.00671434167311169,0.002072424103399584,0.9642586256798393
346,3189.33,6032.6,0.6373672318657952,1,0,0.0070190394998579375,0,1.1136381257591794,0.8758190216227201,0.0031111310649181156,0.0070190394998579375,0.9710267950615649
347,3178.79,6051.86,0.6438650415721554,1,0,-0.0033047693402689093,0,1.117193586141456,0.872924641772437,0.0031926532506711958,-0.0033047693402689093,0.9678177754806658
348,3177.05,6045.36,0.6433379423621428,0,1,-0.0010740499614994015,1,1.1159936644132733,0.8724468219489558,-0.0010740499614994015,-0.0005473780904053926,0.9667782908361724
349,3163.99,6023.88,0.6438976806363002,0,1,-0.0035531382746436524,0,1.1120283846099868,0.8688604271819066,-0.0035531382746436524,-0.004110731653578115,0.9633431938879078
350,3066.34,5746.44,0.6280958646601711,0,1,-0.046056694356461314,0,1.0608120331842952,0.8420448491572248,-0.046056694356461314,-0.030862929402431627,0.9189747908466351
351,3075.98,5762.76,0.6277929769391033,0,1,0.0028400192118946954,0,1.0638247597387476,0.8446920808229486,0.0028400192118946954,0.0031438131453132012,0.9215846969078865
352,3116.37,5952.85,0.6472012335381976,0,1,0.03298593035281705,0,1.0989160091710923,0.8557835421277811,0.03298593035281705,0.01313077458240941,0.951984025534312
353,3094.67,5930.55,0.6504356805785498,0,1,-0.003746104806941264,0,1.0947993546267119,0.8498245247889629,-0.003746104806941264,-0.0069632296550152795,0.9484177936001267
354,3110.36,5964.27,0.651048192388556,0,1,0.005685813288818009,0,1.1010241793458377,0.854133141473113,0.005685813288818009,0.005070007464446968,0.9538103200943298
355,3112.67,5985.57,0.6538706937971277,0,1,0.003571266894355718,0,1.1049562305474208,0.8547674884801484,0.003571266894355718,0.0007426793040032909,0.9572166313139775
356,3106.32,5916.8,0.6443570163905132,0,1,-0.011489298429389283,0,1.0922610586632484,0.8530237207335357,-0.011489298429389283,-0.002040049218195228,0.9462188837752366
357,3133.96,6008.89,0.6509426586992006,0,1,0.01556415630070318,0,1.1092611805014547,0.8606139160904451,0.01556415630070318,0.008897988616755503,0.9609459823769912
358,3117.32,5978.17,0.6511408427294096,0,1,-0.005112425090158079,0,1.1035901658107208,0.856044420767038,-0.005112425090158079,-0.005309576382595771,0.9560332180264005
359,3077.16,5903.62,0.651558628395092,0,1,-0.012470371367826694,0,1.0898279866051797,0.845016119553815,-0.012470371367826694,-0.012882860918994599,0.9441111287576329
360,3120.54,6044.22,0.6610963797149285,0,1,0.023815896009567128,0,1.1157832166024846,0.8569286620495722,0.023815896009567128,0.014097414499083527,0.9665959812215997
361,3136.4,6107.51,0.6664435161049393,0,1,0.010471160877664865,0,1.1274667621681276,0.8612839622796946,0.010471160877664865,0.005082453677889065,0.9767173632446754
362,3151.39,6120.2,0.6637511503809197,0,1,0.0020777698276384093,0,1.1298093785882257,0.8654003525980765,0.0020777698276384093,0.004779364876928982,0.9787467571121558
363,3153.92,6123.49,0.6634860718220796,0,1,0.0005375641318912106,0,1.130416723586029,0.8660951136057821,0.0005375641318912106,0.0008028203427694613,0.9792728962629841
364,3154.2,6111.54,0.6614438891804859,0,1,-0.0019515015130260327,0,1.128210713639601,0.8661720041520893,-0.0019515015130260327,8.877840909082835e-05,0.9773618437242615
365,3204.7,6231.88,0.6650595706799649,0,1,0.019690618076622313,0,1.1504258799118319,0.8800397633968043,0.019690618076622313,0.016010398833301576,0.9966067025116994
366,3207.38,6269.5,0.6702422021555474,0,1,0.006036701605294015,0,1.1573706576678675,0.8807757157686033,0.006036701605294015,0.0008362717259027264,1.0026229197925984
367,3216.8,6297.4,0.6717497732004336,0,1,0.00445011563920561,0,1.162521090931913,0.8833625334336571,0.00445011563920561,0.00293697659772163,1.0070847077281935
368,3209.95,6319.79,0.6774306190619832,0,1,0.003555435576587218,0,1.1666543597771453,0.881481461140067,0.003555435576587218,-0.0021294454115892147,1.0106653325266872
369,3192.28,6299.85,0.6797904285515308,0,1,-0.003155168130586583,0,1.1629733691217665,0.8766291184498866,-0.003155168130586583,-0.005504758641100227,1.0074765134788104
370,3203.33,6312.5,0.6783409008706549,0,1,0.0020079843170868195,0,1.1653086014081526,0.8796635489380866,0.0020079843170868195,0.003461475810392578,1.0094995105177091
371,3273.18,6395.14,0.6697763374704824,0,1,0.013091485148514881,0,1.180564221656924,0.8988449941508262,0.013091485148514881,0.02180543372053445,1.0227153583670847
372,3282.87,6446.56,0.6748286153948229,0,1,0.008040480740062028,0,1.190056525543563,0.9015059562712477,0.008040480740062028,0.002960423808039847,1.030938481508601
